student_id,course,institute_tier,cgpa,internships,certifications,job_portal_active,industry_demand,institute_score,placement_months,placement_label,starting_salary
STU0033,Arts,3,7.98,3,1,0,0.35,0.45,6,placed_6m,339804
STU0034,Arts,2,9.71,2,2,1,0.35,0.7,3,placed_3m,397448
STU0035,Law,2,6.52,0,1,0,0.45,0.7,6,placed_6m,688921
STU0036,MBA,1,5.51,2,4,0,0.7,1.0,6,placed_6m,891713
STU0037,Engineering,1,5.13,1,2,1,0.75,1.0,6,placed_6m,613496
STU0038,Data Science,2,7.98,1,4,1,0.85,0.7,12,placed_12m,1035566
STU0039,MBA,2,5.13,0,1,0,0.7,0.7,12,placed_12m,803598
STU0040,Engineering,3,6.79,0,3,0,0.75,0.45,12,placed_12m,555682
STU0041,MBA,2,7.68,2,4,1,0.7,0.7,3,placed_3m,936015
STU0042,Engineering,2,7.4,1,0,1,0.75,0.7,6,placed_6m,726866
STU0043,Arts,1,7.67,1,3,1,0.35,1.0,6,placed_6m,385571
STU0044,Engineering,3,7.44,1,3,1,0.75,0.45,6,placed_6m,742724
STU0045,Data Science,3,8.61,2,1,0,0.85,0.45,3,placed_3m,1169928
STU0046,MBA,1,6.15,2,1,1,0.7,1.0,3,placed_3m,783768
STU0047,Data Science,3,6.46,1,2,0,0.85,0.45,12,placed_12m,1030304
STU0048,Data Science,2,6.35,0,2,1,0.85,0.7,12,placed_12m,1025050
STU0049,Engineering,1,8.11,1,0,1,0.75,1.0,6,placed_6m,778181
STU0050,Arts,2,8.19,3,3,1,0.35,0.7,12,placed_12m,318109
STU0051,Nursing,2,7.7,1,0,0,0.6,0.7,12,placed_12m,425983
STU0052,Arts,1,8.5,1,0,0,0.35,1.0,6,placed_6m,336722
STU0053,Law,3,5.9,1,1,1,0.45,0.45,12,placed_12m,441170
STU0054,Data Science,3,9.03,1,0,1,0.85,0.45,12,placed_12m,1079817
STU0055,Arts,3,8.88,2,0,1,0.35,0.45,6,placed_6m,328753
STU0056,Engineering,2,8.01,1,4,0,0.75,0.7,12,placed_12m,845290
STU0057,Engineering,2,9.16,0,2,0,0.75,0.7,12,placed_12m,725698
STU0058,Engineering,3,5.38,0,2,1,0.75,0.45,6,placed_6m,659931
STU0059,MBA,2,6.62,1,3,0,0.7,0.7,6,placed_6m,762345
STU0060,MBA,1,6.39,3,2,1,0.7,1.0,3,placed_3m,915675
STU0061,Engineering,2,7.99,1,3,1,0.75,0.7,6,placed_6m,730959
STU0062,Law,3,6.04,2,4,1,0.45,0.45,12,placed_12m,505628
STU0063,MBA,2,8.03,2,2,1,0.7,0.7,3,placed_3m,913727
STU0064,Engineering,1,8.71,0,4,1,0.75,1.0,3,placed_3m,757016
STU0065,Data Science,3,7.96,0,2,0,0.85,0.45,12,placed_12m,985071
STU0066,Engineering,2,7.51,0,2,1,0.75,0.7,12,placed_12m,773409
STU0067,Law,2,6.11,2,4,0,0.45,0.7,3,placed_3m,593170
STU0068,Engineering,1,6.27,0,0,1,0.75,1.0,12,placed_12m,706070
STU0069,Arts,2,8.57,1,0,0,0.35,0.7,12,placed_12m,355665
STU0070,Nursing,3,8.06,1,0,1,0.6,0.45,6,placed_6m,460828
STU0071,Engineering,2,7.16,2,0,0,0.75,0.7,6,placed_6m,717233
STU0072,Engineering,2,6.74,0,2,0,0.75,0.7,12,placed_12m,645813
STU0073,Law,3,4.97,1,1,1,0.45,0.45,12,placed_12m,505129
STU0074,Nursing,3,6.02,1,4,0,0.6,0.45,6,placed_6m,438702
STU0075,Nursing,3,9.3,1,1,1,0.6,0.45,24,delayed,485852
STU0076,Nursing,2,5.79,2,1,1,0.6,0.7,3,placed_3m,425888
STU0077,Engineering,2,7.41,0,3,0,0.75,0.7,6,placed_6m,725609
STU0078,MBA,3,8.31,2,0,1,0.7,0.45,6,placed_6m,895506
STU0079,Engineering,3,5.82,2,2,0,0.75,0.45,6,placed_6m,652713
STU0080,Law,1,7.4,1,0,0,0.45,1.0,24,delayed,582805
STU0081,Data Science,1,8.23,2,0,1,0.85,1.0,6,placed_6m,1171098
STU0082,MBA,2,7.21,1,1,1,0.7,0.7,12,placed_12m,949745
STU0083,Engineering,3,10.0,0,3,0,0.75,0.45,12,placed_12m,733436
STU0084,MBA,2,5.36,2,0,1,0.7,0.7,6,placed_6m,842412
STU0085,MBA,2,8.36,1,4,1,0.7,0.7,3,placed_3m,839651
STU0086,Nursing,1,7.01,2,4,1,0.6,1.0,6,placed_6m,467370
STU0087,Data Science,3,8.05,1,0,0,0.85,0.45,12,placed_12m,1018335
STU0088,Law,3,7.69,3,1,1,0.45,0.45,6,placed_6m,572720
STU0089,MBA,2,6.39,1,1,1,0.7,0.7,12,placed_12m,839807
STU0090,Engineering,3,7.45,0,2,1,0.75,0.45,6,placed_6m,639456
STU0091,Nursing,3,5.16,1,3,1,0.6,0.45,24,delayed,375268
STU0092,Nursing,2,7.86,2,1,1,0.6,0.7,3,placed_3m,476259
STU0093,Data Science,2,7.53,2,2,0,0.85,0.7,6,placed_6m,1029694
STU0094,Nursing,2,7.9,1,4,1,0.6,0.7,24,delayed,431894
STU0095,MBA,3,8.36,3,4,0,0.7,0.45,3,placed_3m,943602
STU0096,Data Science,2,7.6,1,4,0,0.85,0.7,12,placed_12m,1145966
STU0097,MBA,2,7.36,1,0,1,0.7,0.7,6,placed_6m,899636
STU0098,Engineering,3,6.23,3,3,0,0.75,0.45,6,placed_6m,651651
STU0099,Engineering,2,6.42,3,2,1,0.75,0.7,6,placed_6m,738148
STU0100,Engineering,3,8.51,2,3,1,0.75,0.45,6,placed_6m,813624
STU0101,Data Science,2,8.78,2,0,0,0.85,0.7,3,placed_3m,1226476
STU0102,MBA,1,6.94,0,2,1,0.7,1.0,24,delayed,893029
STU0103,Data Science,3,7.25,2,2,1,0.85,0.45,6,placed_6m,1093269
STU0104,Arts,3,6.2,1,1,1,0.35,0.45,24,delayed,321657
STU0105,Engineering,2,8.49,0,3,1,0.75,0.7,6,placed_6m,772831
STU0106,MBA,3,7.93,0,3,0,0.7,0.45,6,placed_6m,877079
STU0107,Nursing,3,9.34,1,1,1,0.6,0.45,12,placed_12m,494224
STU0108,Engineering,2,6.23,1,4,1,0.75,0.7,12,placed_12m,614096
STU0109,Engineering,3,6.78,1,0,0,0.75,0.45,12,placed_12m,580417
STU0110,Engineering,1,7.45,0,3,1,0.75,1.0,3,placed_3m,737428
STU0111,Engineering,2,7.91,1,1,1,0.75,0.7,6,placed_6m,727130
STU0112,Arts,1,6.96,1,2,0,0.35,1.0,6,placed_6m,329128
STU0113,Law,3,6.24,1,1,0,0.45,0.45,12,placed_12m,563194
STU0114,Data Science,3,8.17,1,4,1,0.85,0.45,12,placed_12m,907003
STU0115,Law,1,7.99,2,0,0,0.45,1.0,3,placed_3m,633648
STU0116,Law,2,6.19,3,4,1,0.45,0.7,6,placed_6m,574154
STU0117,Engineering,2,8.69,2,2,0,0.75,0.7,6,placed_6m,688687
STU0118,Law,1,8.49,1,2,1,0.45,1.0,6,placed_6m,707386
STU0119,Data Science,3,7.35,2,2,0,0.85,0.45,6,placed_6m,947535
STU0120,Law,3,7.29,0,2,0,0.45,0.45,24,delayed,503655
STU0121,Law,2,7.81,0,1,1,0.45,0.7,6,placed_6m,620305
STU0122,MBA,3,6.25,1,2,1,0.7,0.45,12,placed_12m,834467
STU0123,Engineering,2,7.23,2,2,1,0.75,0.7,6,placed_6m,670298
STU0124,Engineering,3,4.83,0,1,1,0.75,0.45,6,placed_6m,614230
STU0125,MBA,3,8.16,0,2,0,0.7,0.45,24,delayed,841040
STU0126,Law,2,5.48,0,4,0,0.45,0.7,12,placed_12m,612880
STU0127,Law,1,8.85,2,4,1,0.45,1.0,3,placed_3m,692709
STU0128,Engineering,3,6.84,2,3,1,0.75,0.45,6,placed_6m,674826
STU0129,Data Science,2,6.97,1,4,1,0.85,0.7,12,placed_12m,970354
STU0130,MBA,1,6.51,1,0,0,0.7,1.0,6,placed_6m,852576
STU0131,Engineering,1,6.88,1,0,1,0.75,1.0,3,placed_3m,693107
STU0132,Engineering,2,8.76,2,0,0,0.75,0.7,3,placed_3m,838874
STU0133,MBA,2,4.46,0,1,1,0.7,0.7,12,placed_12m,742206
STU0134,Arts,3,8.6,2,4,1,0.35,0.45,6,placed_6m,355493
STU0135,MBA,3,7.57,1,0,0,0.7,0.45,12,placed_12m,936048
STU0136,Data Science,1,5.87,2,3,1,0.85,1.0,6,placed_6m,908193
STU0137,Nursing,3,6.02,0,1,0,0.6,0.45,12,placed_12m,424903
STU0138,MBA,1,9.04,1,3,1,0.7,1.0,3,placed_3m,1000287
STU0139,Arts,3,6.16,1,4,0,0.35,0.45,6,placed_6m,309017
STU0140,Arts,3,5.93,1,2,1,0.35,0.45,12,placed_12m,274015
STU0141,Engineering,2,8.45,0,3,0,0.75,0.7,3,placed_3m,687535
STU0142,MBA,3,7.57,2,2,1,0.7,0.45,12,placed_12m,899546
STU0143,MBA,2,6.17,0,1,1,0.7,0.7,12,placed_12m,948136
STU0144,Engineering,2,7.44,2,3,1,0.75,0.7,3,placed_3m,781557
STU0145,Engineering,3,6.07,2,3,0,0.75,0.45,12,placed_12m,711895
STU0146,Data Science,2,8.41,1,1,1,0.85,0.7,12,placed_12m,1083166
STU0147,Data Science,2,8.37,2,1,0,0.85,0.7,6,placed_6m,1093073
STU0148,Engineering,2,7.79,2,0,1,0.75,0.7,3,placed_3m,706327
STU0149,Engineering,3,7.6,1,4,0,0.75,0.45,24,delayed,638497
STU0150,Arts,2,9.14,2,3,1,0.35,0.7,6,placed_6m,318306
STU0151,Engineering,1,7.2,1,3,0,0.75,1.0,12,placed_12m,696193
STU0152,Engineering,3,5.9,1,1,0,0.75,0.45,24,delayed,584101
STU0153,MBA,3,7.69,2,1,0,0.7,0.45,6,placed_6m,873644
STU0154,Arts,1,9.49,1,4,1,0.35,1.0,6,placed_6m,379709
STU0155,Engineering,2,6.08,1,1,0,0.75,0.7,6,placed_6m,686410
STU0156,Data Science,1,6.8,1,2,1,0.85,1.0,3,placed_3m,1094407
STU0157,Nursing,2,7.66,2,2,1,0.6,0.7,3,placed_3m,450986
STU0158,Engineering,2,7.14,3,2,1,0.75,0.7,3,placed_3m,650229
STU0159,Nursing,3,6.12,1,2,1,0.6,0.45,12,placed_12m,383147
STU0160,MBA,3,8.43,2,4,0,0.7,0.45,3,placed_3m,858242
STU0161,Data Science,2,9.75,3,3,1,0.85,0.7,3,placed_3m,1267773
STU0162,Data Science,2,7.42,0,2,0,0.85,0.7,6,placed_6m,1098927
STU0163,Data Science,3,6.21,0,1,1,0.85,0.45,6,placed_6m,1001575
STU0164,Engineering,2,5.5,2,2,0,0.75,0.7,12,placed_12m,700218
STU0165,Law,3,7.48,2,4,1,0.45,0.45,12,placed_12m,572586
STU0166,MBA,2,8.41,2,1,0,0.7,0.7,6,placed_6m,917342
STU0167,Engineering,1,7.72,1,2,1,0.75,1.0,6,placed_6m,718319
STU0168,Engineering,3,7.2,0,3,0,0.75,0.45,6,placed_6m,580060
STU0169,Data Science,2,6.55,1,1,1,0.85,0.7,3,placed_3m,1101619
STU0170,Data Science,3,6.0,0,1,0,0.85,0.45,12,placed_12m,900858
STU0171,Engineering,1,8.12,1,3,1,0.75,1.0,6,placed_6m,706222
STU0172,Data Science,1,8.21,2,1,1,0.85,1.0,6,placed_6m,1123474
STU0173,Engineering,3,5.5,0,2,1,0.75,0.45,12,placed_12m,552376
STU0174,Data Science,2,8.95,2,1,1,0.85,0.7,6,placed_6m,1165544
STU0175,Engineering,3,7.83,1,2,1,0.75,0.45,12,placed_12m,735182
STU0176,Data Science,2,8.74,1,3,1,0.85,0.7,3,placed_3m,1103599
STU0177,MBA,2,5.72,0,0,1,0.7,0.7,6,placed_6m,662610
STU0178,Arts,3,5.7,1,3,1,0.35,0.45,24,delayed,278062
STU0179,Engineering,2,7.04,0,2,1,0.75,0.7,12,placed_12m,662586
STU0180,MBA,2,7.75,3,4,0,0.7,0.7,3,placed_3m,940057
STU0181,Engineering,2,9.18,2,3,1,0.75,0.7,3,placed_3m,755411
STU0182,Arts,1,7.98,1,4,1,0.35,1.0,12,placed_12m,356877
STU0183,Law,2,6.93,0,4,0,0.45,0.7,24,delayed,545971
STU0184,Engineering,3,6.07,3,2,1,0.75,0.45,6,placed_6m,677437
STU0185,Data Science,3,8.55,1,2,0,0.85,0.45,6,placed_6m,1099345
STU0186,Law,3,6.14,0,0,0,0.45,0.45,24,delayed,481277
STU0187,Data Science,3,8.99,1,1,1,0.85,0.45,6,placed_6m,1054325
STU0188,Data Science,3,6.89,3,3,1,0.85,0.45,3,placed_3m,1159666
STU0189,Engineering,3,8.95,0,2,1,0.75,0.45,6,placed_6m,731838
STU0190,Engineering,2,7.95,0,3,1,0.75,0.7,12,placed_12m,737098
STU0191,Law,3,7.05,3,4,1,0.45,0.45,3,placed_3m,642151
STU0192,Arts,3,6.63,0,1,0,0.35,0.45,12,placed_12m,304782
STU0193,Data Science,2,6.83,0,0,0,0.85,0.7,12,placed_12m,1062469
STU0194,MBA,1,7.67,1,3,1,0.7,1.0,6,placed_6m,846032
STU0195,MBA,2,7.28,2,1,0,0.7,0.7,6,placed_6m,918556
STU0196,Nursing,2,6.55,1,0,1,0.6,0.7,24,delayed,412701
STU0197,Law,3,7.02,3,3,1,0.45,0.45,6,placed_6m,656302
STU0198,Law,2,7.29,2,1,0,0.45,0.7,6,placed_6m,641350
STU0199,Nursing,2,4.86,0,2,1,0.6,0.7,24,delayed,354343
STU0200,Data Science,3,7.7,3,3,1,0.85,0.45,6,placed_6m,1118270
STU0201,Engineering,1,6.12,1,1,1,0.75,1.0,12,placed_12m,706717
STU0202,Engineering,2,5.93,1,0,1,0.75,0.7,6,placed_6m,686247
STU0203,Law,1,5.34,1,1,1,0.45,1.0,3,placed_3m,531385
STU0204,Data Science,3,5.23,1,2,0,0.85,0.45,24,delayed,912123
STU0205,Engineering,3,5.71,0,3,1,0.75,0.45,12,placed_12m,589318
STU0206,Engineering,2,6.42,0,3,1,0.75,0.7,6,placed_6m,672659
STU0207,Data Science,3,9.35,1,3,1,0.85,0.45,6,placed_6m,1053280
STU0208,Engineering,2,6.62,2,2,1,0.75,0.7,6,placed_6m,677062
STU0209,Engineering,3,7.4,1,0,1,0.75,0.45,24,delayed,712210
STU0210,Data Science,3,7.64,3,3,0,0.85,0.45,3,placed_3m,1018487
STU0211,Data Science,3,7.34,1,0,1,0.85,0.45,12,placed_12m,933589
STU0212,Data Science,1,7.11,1,1,1,0.85,1.0,3,placed_3m,1105827
STU0213,Engineering,3,5.89,0,0,0,0.75,0.45,6,placed_6m,576004
STU0214,Nursing,3,8.8,0,0,0,0.6,0.45,12,placed_12m,411919
STU0215,Engineering,2,9.19,1,3,1,0.75,0.7,6,placed_6m,767181
STU0216,MBA,3,5.35,2,4,1,0.7,0.45,6,placed_6m,705911
STU0217,Nursing,2,6.07,3,4,1,0.6,0.7,6,placed_6m,418205
STU0218,Data Science,3,6.89,3,2,1,0.85,0.45,3,placed_3m,1208419
STU0219,Law,1,6.14,0,2,1,0.45,1.0,6,placed_6m,590604
STU0220,Data Science,3,7.76,3,4,1,0.85,0.45,3,placed_3m,1045667
STU0221,Data Science,2,6.4,1,1,1,0.85,0.7,3,placed_3m,1053437
STU0222,Engineering,1,9.58,0,3,0,0.75,1.0,6,placed_6m,817178
STU0223,MBA,2,8.51,2,3,1,0.7,0.7,6,placed_6m,1011899
STU0224,Engineering,1,7.43,2,1,1,0.75,1.0,3,placed_3m,763161
STU0225,Engineering,2,8.33,0,1,1,0.75,0.7,12,placed_12m,755762
STU0226,Arts,2,8.42,1,4,1,0.35,0.7,6,placed_6m,299202
STU0227,MBA,2,6.58,1,2,1,0.7,0.7,6,placed_6m,791483
STU0228,Law,2,6.3,2,1,0,0.45,0.7,6,placed_6m,586192
STU0229,Data Science,2,7.29,1,2,0,0.85,0.7,3,placed_3m,1086976
STU0230,Nursing,3,8.15,3,0,0,0.6,0.45,6,placed_6m,441540
STU0231,Data Science,1,7.35,0,3,0,0.85,1.0,3,placed_3m,1108936
STU0232,Data Science,3,5.47,1,4,1,0.85,0.45,6,placed_6m,885772
STU0233,MBA,3,6.32,1,3,0,0.7,0.45,12,placed_12m,781515
STU0234,Engineering,3,7.12,1,4,0,0.75,0.45,12,placed_12m,711748
STU0235,Nursing,2,7.12,1,0,1,0.6,0.7,3,placed_3m,473341
STU0236,Engineering,3,9.37,2,3,1,0.75,0.45,12,placed_12m,702234
STU0237,Engineering,1,5.68,2,0,0,0.75,1.0,6,placed_6m,662014
STU0238,Data Science,1,7.76,3,4,1,0.85,1.0,3,placed_3m,1168797
STU0239,Engineering,2,8.84,2,1,1,0.75,0.7,6,placed_6m,770356
STU0240,Arts,3,9.7,2,3,0,0.35,0.45,6,placed_6m,343410
STU0241,Arts,1,6.76,1,0,0,0.35,1.0,6,placed_6m,361716
STU0242,Arts,2,7.74,2,3,1,0.35,0.7,6,placed_6m,352516
STU0243,MBA,3,7.83,1,3,1,0.7,0.45,3,placed_3m,893180
STU0244,Engineering,3,7.42,1,3,1,0.75,0.45,24,delayed,595657
STU0245,Arts,2,7.09,1,2,0,0.35,0.7,12,placed_12m,348958
STU0246,MBA,1,7.68,1,0,1,0.7,1.0,12,placed_12m,762523
STU0247,Arts,3,4.41,1,0,1,0.35,0.45,24,delayed,283019
STU0248,Arts,2,7.95,3,3,0,0.35,0.7,6,placed_6m,377932
STU0249,Law,1,7.34,1,1,1,0.45,1.0,6,placed_6m,601590
STU0250,Engineering,1,6.96,0,3,1,0.75,1.0,12,placed_12m,764758
STU0251,MBA,3,9.45,1,2,0,0.7,0.45,6,placed_6m,921272
STU0252,Law,3,6.46,0,4,1,0.45,0.45,24,delayed,508936
STU0253,MBA,3,6.76,0,2,1,0.7,0.45,24,delayed,791244
STU0254,Engineering,3,9.39,0,1,0,0.75,0.45,6,placed_6m,871176
STU0255,Data Science,2,6.28,1,3,1,0.85,0.7,3,placed_3m,1114987
STU0256,Arts,2,6.59,1,0,0,0.35,0.7,6,placed_6m,335066
STU0257,Data Science,2,7.04,2,3,1,0.85,0.7,6,placed_6m,1010750
STU0258,Data Science,2,8.12,2,1,0,0.85,0.7,3,placed_3m,1141329
STU0259,Engineering,2,7.43,1,0,0,0.75,0.7,6,placed_6m,670327
STU0260,Data Science,3,5.78,1,2,1,0.85,0.45,6,placed_6m,1003957
STU0261,Arts,2,6.61,1,4,1,0.35,0.7,12,placed_12m,319284
STU0262,Engineering,3,6.53,2,4,1,0.75,0.45,3,placed_3m,622230
STU0263,Data Science,2,7.12,0,3,0,0.85,0.7,12,placed_12m,1014518
STU0264,Law,2,7.67,0,2,0,0.45,0.7,12,placed_12m,540234
STU0265,Nursing,2,7.66,2,1,1,0.6,0.7,6,placed_6m,470920
STU0266,Data Science,2,5.25,1,4,1,0.85,0.7,6,placed_6m,903983
STU0267,Nursing,3,8.37,0,2,0,0.6,0.45,12,placed_12m,431571
STU0268,MBA,2,7.48,0,3,1,0.7,0.7,3,placed_3m,913259
STU0269,Engineering,2,8.72,3,0,1,0.75,0.7,3,placed_3m,789393
STU0270,Law,1,7.69,2,3,1,0.45,1.0,3,placed_3m,631788
STU0271,Law,2,8.41,2,3,1,0.45,0.7,12,placed_12m,634250
STU0272,Law,2,7.71,1,2,0,0.45,0.7,6,placed_6m,626133
STU0273,Arts,3,8.68,1,4,1,0.35,0.45,12,placed_12m,306264
STU0274,Data Science,3,7.77,3,2,0,0.85,0.45,6,placed_6m,1113368
STU0275,Data Science,2,7.09,3,0,1,0.85,0.7,6,placed_6m,1203766
STU0276,Nursing,3,9.7,0,2,1,0.6,0.45,12,placed_12m,473433
STU0277,Data Science,2,8.18,2,1,1,0.85,0.7,3,placed_3m,1137540
STU0278,Nursing,2,7.83,0,3,1,0.6,0.7,12,placed_12m,458939
STU0279,Nursing,1,5.8,0,4,1,0.6,1.0,12,placed_12m,437381
STU0280,Law,2,5.78,2,0,1,0.45,0.7,6,placed_6m,596798
STU0281,MBA,2,7.52,1,3,1,0.7,0.7,3,placed_3m,773451
STU0282,MBA,2,7.36,3,2,1,0.7,0.7,6,placed_6m,840920
STU0283,Engineering,1,6.52,0,1,1,0.75,1.0,12,placed_12m,738965
STU0284,Data Science,1,7.36,1,2,0,0.85,1.0,6,placed_6m,1006348
STU0285,Engineering,2,8.95,3,3,0,0.75,0.7,3,placed_3m,817948
STU0286,MBA,3,7.96,3,0,0,0.7,0.45,3,placed_3m,902874
STU0287,Data Science,2,5.94,0,4,1,0.85,0.7,6,placed_6m,895544
STU0288,Engineering,2,7.08,1,3,1,0.75,0.7,3,placed_3m,719353
STU0289,Data Science,1,6.31,2,0,1,0.85,1.0,12,placed_12m,1101128
STU0290,Engineering,2,6.77,0,3,1,0.75,0.7,12,placed_12m,763502
STU0291,Engineering,2,6.75,3,1,1,0.75,0.7,3,placed_3m,702609
STU0292,Law,2,6.67,3,2,0,0.45,0.7,6,placed_6m,663219
STU0293,MBA,2,5.82,0,4,0,0.7,0.7,6,placed_6m,822496
STU0294,Engineering,1,7.06,0,0,1,0.75,1.0,12,placed_12m,675058
STU0295,Data Science,1,6.58,0,4,0,0.85,1.0,12,placed_12m,1096295
STU0296,Nursing,2,4.0,3,4,1,0.6,0.7,3,placed_3m,429023
STU0297,Engineering,1,9.46,0,4,1,0.75,1.0,3,placed_3m,791718
STU0298,Data Science,1,8.4,1,0,1,0.85,1.0,3,placed_3m,1186442
STU0299,Engineering,2,6.79,1,0,1,0.75,0.7,3,placed_3m,665176
STU0300,Engineering,3,7.22,1,4,1,0.75,0.45,24,delayed,610983
STU0301,Data Science,2,5.91,0,2,0,0.85,0.7,24,delayed,986682
STU0302,Data Science,2,9.07,0,3,1,0.85,0.7,6,placed_6m,1091564
STU0303,Data Science,2,9.29,3,4,1,0.85,0.7,3,placed_3m,1207524
STU0304,Nursing,3,7.37,3,1,0,0.6,0.45,6,placed_6m,463031
STU0305,Arts,2,8.33,2,4,0,0.35,0.7,3,placed_3m,360621
STU0306,Data Science,1,7.39,0,0,1,0.85,1.0,6,placed_6m,983515
STU0307,MBA,2,5.73,1,3,0,0.7,0.7,6,placed_6m,900160
STU0308,Nursing,1,6.75,2,1,0,0.6,1.0,3,placed_3m,477835
STU0309,Engineering,2,7.35,1,3,1,0.75,0.7,6,placed_6m,697126
STU0310,MBA,2,6.7,3,3,1,0.7,0.7,3,placed_3m,939913
STU0311,Engineering,3,6.96,2,1,0,0.75,0.45,3,placed_3m,700388
STU0312,Engineering,2,7.1,0,4,0,0.75,0.7,6,placed_6m,716302
STU0313,Arts,3,7.11,3,4,1,0.35,0.45,12,placed_12m,339805
STU0314,Law,3,7.26,3,4,0,0.45,0.45,12,placed_12m,617650
STU0315,Data Science,1,6.03,0,2,1,0.85,1.0,6,placed_6m,1122521
STU0316,MBA,2,6.41,1,4,1,0.7,0.7,6,placed_6m,901565
STU0317,Engineering,2,5.79,1,1,0,0.75,0.7,6,placed_6m,652405
STU0318,Engineering,2,8.28,1,2,0,0.75,0.7,6,placed_6m,680868
STU0319,Engineering,2,4.88,0,4,0,0.75,0.7,12,placed_12m,685567
STU0320,Data Science,3,8.47,1,2,0,0.85,0.45,24,delayed,1014986
STU0321,Nursing,3,8.72,3,1,0,0.6,0.45,12,placed_12m,461092
STU0322,Data Science,2,6.87,1,4,1,0.85,0.7,3,placed_3m,919372
STU0323,Engineering,2,4.34,0,0,0,0.75,0.7,12,placed_12m,605343
STU0324,Arts,3,6.8,2,1,1,0.35,0.45,12,placed_12m,317437
STU0325,Nursing,3,7.13,1,3,1,0.6,0.45,24,delayed,364265
STU0326,Data Science,3,6.09,2,3,0,0.85,0.45,3,placed_3m,1026986
STU0327,Data Science,1,6.63,1,1,0,0.85,1.0,12,placed_12m,1035126
STU0328,MBA,2,8.88,0,3,0,0.7,0.7,6,placed_6m,1077664
STU0329,Engineering,1,7.93,0,1,0,0.75,1.0,12,placed_12m,705613
STU0330,MBA,2,6.18,2,0,1,0.7,0.7,6,placed_6m,838875
STU0331,Nursing,1,5.44,1,1,0,0.6,1.0,12,placed_12m,402983
STU0332,Engineering,2,6.84,2,4,1,0.75,0.7,6,placed_6m,773046
STU0333,Engineering,3,6.97,0,4,1,0.75,0.45,6,placed_6m,627562
STU0334,Engineering,1,7.75,1,2,1,0.75,1.0,12,placed_12m,712578
STU0335,Engineering,2,6.61,1,3,1,0.75,0.7,12,placed_12m,711268
STU0336,Law,2,7.76,3,3,1,0.45,0.7,3,placed_3m,580727
STU0337,Nursing,2,9.33,3,1,0,0.6,0.7,3,placed_3m,532073
STU0338,MBA,1,8.1,0,3,0,0.7,1.0,6,placed_6m,1038648
STU0339,Engineering,2,7.15,1,4,1,0.75,0.7,24,delayed,705610
STU0340,MBA,3,7.0,0,0,0,0.7,0.45,6,placed_6m,846343
STU0341,MBA,1,6.81,1,1,1,0.7,1.0,6,placed_6m,960615
