student_id,course,institute_tier,cgpa,internships,certifications,job_portal_active,industry_demand,institute_score,placement_months,placement_label,starting_salary,employability_score,engagement_score,course_enc,label_enc
STU0069,Arts,2,8.57,1,0,0,0.35,0.7,12,placed_12m,355665,0.5757833333333333,0.0,0,2
STU0070,Nursing,3,8.06,1,0,1,0.6,0.45,6,placed_6m,460828,0.5454333333333333,0.6,5,1
STU0071,Engineering,2,7.16,2,0,0,0.75,0.7,6,placed_6m,717233,0.6697666666666666,0.0,2,1
STU0072,Engineering,2,6.74,0,2,0,0.75,0.7,12,placed_12m,645813,0.5084,0.16000000000000003,2,2
STU0073,Law,3,4.97,1,1,1,0.45,0.45,12,placed_12m,505129,0.42478333333333335,0.6799999999999999,3,2
STU0074,Nursing,3,6.02,1,4,0,0.6,0.45,6,placed_6m,438702,0.5140333333333333,0.32000000000000006,5,1
STU0075,Nursing,3,9.3,1,1,1,0.6,0.45,24,delayed,485852,0.5988333333333333,0.6799999999999999,5,3
STU0076,Nursing,2,5.79,2,1,1,0.6,0.7,3,placed_3m,425888,0.6093166666666666,0.6799999999999999,5,0
STU0077,Engineering,2,7.41,0,3,0,0.75,0.7,6,placed_6m,725609,0.5418499999999999,0.24,2,1
STU0078,MBA,3,8.31,2,0,1,0.7,0.45,6,placed_6m,895506,0.6525166666666666,0.6,4,1
STU0079,Engineering,3,5.82,2,2,0,0.75,0.45,6,placed_6m,652713,0.5928666666666667,0.16000000000000003,2,1
STU0080,Law,1,7.4,1,0,0,0.45,1.0,24,delayed,582805,0.6098333333333333,0.0,3,3
STU0081,Data Science,1,8.23,2,0,1,0.85,1.0,6,placed_6m,1171098,0.7822166666666666,0.6,1,1
STU0082,MBA,2,7.21,1,1,1,0.7,0.7,12,placed_12m,949745,0.5906833333333332,0.6799999999999999,4,2
STU0083,Engineering,3,10.0,0,3,0,0.75,0.45,12,placed_12m,733436,0.5825,0.24,2,2
STU0084,MBA,2,5.36,2,0,1,0.7,0.7,6,placed_6m,842412,0.5992666666666666,0.6,4,1
STU0085,MBA,2,8.36,1,4,1,0.7,0.7,3,placed_3m,839651,0.6609333333333333,0.92,4,0
STU0086,Nursing,1,7.01,2,4,1,0.6,1.0,6,placed_6m,467370,0.7420166666666667,0.92,5,1
STU0087,Data Science,3,8.05,1,0,0,0.85,0.45,12,placed_12m,1018335,0.5825833333333333,0.0,1,2
STU0088,Law,3,7.69,3,1,1,0.45,0.45,6,placed_6m,572720,0.68665,0.6799999999999999,3,1
STU0089,MBA,2,6.39,1,1,1,0.7,0.7,12,placed_12m,839807,0.5619833333333333,0.6799999999999999,4,2
STU0090,Engineering,3,7.45,0,2,1,0.75,0.45,6,placed_6m,639456,0.48325,0.76,2,1
STU0091,Nursing,3,5.16,1,3,1,0.6,0.45,24,delayed,375268,0.4739333333333333,0.84,5,3
STU0092,Nursing,2,7.86,2,1,1,0.6,0.7,3,placed_3m,476259,0.6817666666666666,0.6799999999999999,5,0
STU0093,Data Science,2,7.53,2,2,0,0.85,0.7,6,placed_6m,1029694,0.7177166666666668,0.16000000000000003,1,1
STU0094,Nursing,2,7.9,1,4,1,0.6,0.7,24,delayed,431894,0.6298333333333332,0.92,5,3
STU0095,MBA,3,8.36,3,4,0,0.7,0.45,3,placed_3m,943602,0.7776,0.32000000000000006,4,0
STU0096,Data Science,2,7.6,1,4,0,0.85,0.7,12,placed_12m,1145966,0.6568333333333334,0.32000000000000006,1,2
STU0097,MBA,2,7.36,1,0,1,0.7,0.7,6,placed_6m,899636,0.5859333333333333,0.6,4,1
STU0098,Engineering,3,6.23,3,3,0,0.75,0.45,6,placed_6m,651651,0.70055,0.24,2,1
STU0099,Engineering,2,6.42,3,2,1,0.75,0.7,6,placed_6m,738148,0.7472000000000001,0.76,2,1
STU0100,Engineering,3,8.51,2,3,1,0.75,0.45,6,placed_6m,813624,0.6970166666666666,0.84,2,1
STU0101,Data Science,2,8.78,2,0,0,0.85,0.7,3,placed_3m,1226476,0.7414666666666667,0.0,1,0
STU0102,MBA,1,6.94,0,2,1,0.7,1.0,24,delayed,893029,0.5679000000000001,0.76,4,3
STU0103,Data Science,3,7.25,2,2,1,0.85,0.45,6,placed_6m,1093269,0.6579166666666667,0.76,1,1
STU0104,Arts,3,6.2,1,1,1,0.35,0.45,24,delayed,321657,0.45283333333333337,0.6799999999999999,0,3
STU0105,Engineering,2,8.49,0,3,1,0.75,0.7,6,placed_6m,772831,0.57965,0.84,2,1
STU0106,MBA,3,7.93,0,3,0,0.7,0.45,6,placed_6m,877079,0.5025499999999999,0.24,4,1
STU0107,Nursing,3,9.34,1,1,1,0.6,0.45,12,placed_12m,494224,0.6002333333333333,0.6799999999999999,5,2
STU0108,Engineering,2,6.23,1,4,1,0.75,0.7,12,placed_12m,614096,0.5938833333333333,0.92,2,2
STU0109,Engineering,3,6.78,1,0,0,0.75,0.45,12,placed_12m,580417,0.5231333333333333,0.0,2,2
STU0110,Engineering,1,7.45,0,3,1,0.75,1.0,3,placed_3m,737428,0.6032500000000001,0.84,2,0
STU0111,Engineering,2,7.91,1,1,1,0.75,0.7,6,placed_6m,727130,0.6226833333333333,0.6799999999999999,2,1
STU0112,Arts,1,6.96,1,2,0,0.35,1.0,6,placed_6m,329128,0.5994333333333333,0.16000000000000003,0,1
STU0113,Law,3,6.24,1,1,0,0.45,0.45,12,placed_12m,563194,0.46923333333333334,0.08000000000000002,3,2
STU0114,Data Science,3,8.17,1,4,1,0.85,0.45,12,placed_12m,907003,0.6267833333333334,0.92,1,2
STU0115,Law,1,7.99,2,0,0,0.45,1.0,3,placed_3m,633648,0.7138166666666667,0.0,3,0
STU0116,Law,2,6.19,3,4,1,0.45,0.7,6,placed_6m,574154,0.7141500000000001,0.92,3,1
STU0117,Engineering,2,8.69,2,2,0,0.75,0.7,6,placed_6m,688687,0.7433166666666666,0.16000000000000003,2,1
STU0118,Law,1,8.49,1,2,1,0.45,1.0,6,placed_6m,707386,0.6679833333333333,0.76,3,1
STU0119,Data Science,3,7.35,2,2,0,0.85,0.45,6,placed_6m,947535,0.6614166666666665,0.16000000000000003,1,1
STU0120,Law,3,7.29,0,2,0,0.45,0.45,24,delayed,503655,0.43265000000000003,0.16000000000000003,3,3
STU0121,Law,2,7.81,0,1,1,0.45,0.7,6,placed_6m,620305,0.4908499999999999,0.6799999999999999,3,1
STU0122,MBA,3,6.25,1,2,1,0.7,0.45,12,placed_12m,834467,0.5170833333333333,0.76,4,2
STU0123,Engineering,2,7.23,2,2,1,0.75,0.7,6,placed_6m,670298,0.6922166666666667,0.76,2,1
STU0124,Engineering,3,4.83,0,1,1,0.75,0.45,6,placed_6m,614230,0.38155,0.6799999999999999,2,1
STU0125,MBA,3,8.16,0,2,0,0.7,0.45,24,delayed,841040,0.5006,0.16000000000000003,4,3
STU0126,Law,2,5.48,0,4,0,0.45,0.7,12,placed_12m,612880,0.4393,0.32000000000000006,3,2
STU0127,Law,1,8.85,2,4,1,0.45,1.0,3,placed_3m,692709,0.7839166666666667,0.92,3,0
STU0128,Engineering,3,6.84,2,3,1,0.75,0.45,6,placed_6m,674826,0.6385666666666667,0.84,2,1
STU0129,Data Science,2,6.97,1,4,1,0.85,0.7,12,placed_12m,970354,0.6347833333333333,0.92,1,2
STU0130,MBA,1,6.51,1,0,0,0.7,1.0,6,placed_6m,852576,0.6161833333333333,0.0,4,1
STU0131,Engineering,1,6.88,1,0,1,0.75,1.0,3,placed_3m,693107,0.6366333333333334,0.6,2,0
STU0132,Engineering,2,8.76,2,0,0,0.75,0.7,3,placed_3m,838874,0.7257666666666667,0.0,2,0
STU0133,MBA,2,4.46,0,1,1,0.7,0.7,12,placed_12m,742206,0.41109999999999997,0.6799999999999999,4,2
STU0134,Arts,3,8.6,2,4,1,0.35,0.45,6,placed_6m,355493,0.6501666666666667,0.92,0,1
STU0135,MBA,3,7.57,1,0,0,0.7,0.45,12,placed_12m,936048,0.5432833333333333,0.0,4,2
STU0136,Data Science,1,5.87,2,3,1,0.85,1.0,6,placed_6m,908193,0.7296166666666666,0.84,1,1
STU0137,Nursing,3,6.02,0,1,0,0.6,0.45,12,placed_12m,424903,0.40069999999999995,0.08000000000000002,5,2
STU0138,MBA,1,9.04,1,3,1,0.7,1.0,3,placed_3m,1000287,0.7347333333333332,0.84,4,0
STU0139,Arts,3,6.16,1,4,0,0.35,0.45,6,placed_6m,309017,0.4814333333333334,0.32000000000000006,0,1
STU0140,Arts,3,5.93,1,2,1,0.35,0.45,12,placed_12m,274015,0.45338333333333336,0.76,0,2
STU0141,Engineering,2,8.45,0,3,0,0.75,0.7,3,placed_3m,687535,0.5782499999999999,0.24,2,0
STU0142,MBA,3,7.57,2,2,1,0.7,0.45,12,placed_12m,899546,0.6466166666666666,0.76,4,2
STU0143,MBA,2,6.17,0,1,1,0.7,0.7,12,placed_12m,948136,0.47095,0.6799999999999999,4,2
STU0144,Engineering,2,7.44,2,3,1,0.75,0.7,3,placed_3m,781557,0.7095666666666667,0.84,2,0
STU0145,Engineering,3,6.07,2,3,0,0.75,0.45,12,placed_12m,711895,0.6116166666666667,0.24,2,2
STU0146,Data Science,2,8.41,1,1,1,0.85,0.7,12,placed_12m,1083166,0.6551833333333332,0.6799999999999999,1,2
STU0147,Data Science,2,8.37,2,1,0,0.85,0.7,6,placed_6m,1093073,0.7371166666666666,0.08000000000000002,1,1
STU0148,Engineering,2,7.79,2,0,1,0.75,0.7,3,placed_3m,706327,0.6918166666666667,0.6,2,0
STU0149,Engineering,3,7.6,1,4,0,0.75,0.45,24,delayed,638497,0.5918333333333333,0.32000000000000006,2,3
STU0150,Arts,2,9.14,2,3,1,0.35,0.7,6,placed_6m,318306,0.7090666666666667,0.84,0,1
STU0151,Engineering,1,7.2,1,3,0,0.75,1.0,12,placed_12m,696193,0.6778333333333333,0.24,2,2
STU0152,Engineering,3,5.9,1,1,0,0.75,0.45,24,delayed,584101,0.5023333333333333,0.08000000000000002,2,3
STU0153,MBA,3,7.69,2,1,0,0.7,0.45,6,placed_6m,873644,0.6408166666666666,0.08000000000000002,4,1
STU0154,Arts,1,9.49,1,4,1,0.35,1.0,6,placed_6m,379709,0.7079833333333334,0.92,0,1
STU0155,Engineering,2,6.08,1,1,0,0.75,0.7,6,placed_6m,686410,0.5586333333333333,0.08000000000000002,2,1
STU0156,Data Science,1,6.8,1,2,1,0.85,1.0,3,placed_3m,1094407,0.6688333333333334,0.76,1,0
STU0157,Nursing,2,7.66,2,2,1,0.6,0.7,3,placed_3m,450986,0.6847666666666666,0.76,5,0
STU0158,Engineering,2,7.14,3,2,1,0.75,0.7,3,placed_3m,650229,0.7724,0.76,2,0
STU0159,Nursing,3,6.12,1,2,1,0.6,0.45,12,placed_12m,383147,0.4975333333333334,0.76,5,2
STU0160,MBA,3,8.43,2,4,0,0.7,0.45,3,placed_3m,858242,0.6967166666666667,0.32000000000000006,4,0
STU0161,Data Science,2,9.75,3,3,1,0.85,0.7,3,placed_3m,1267773,0.8887500000000002,0.84,1,0
STU0162,Data Science,2,7.42,0,2,0,0.85,0.7,6,placed_6m,1098927,0.5471999999999999,0.16000000000000003,1,1
STU0163,Data Science,3,6.21,0,1,1,0.85,0.45,6,placed_6m,1001575,0.44485,0.6799999999999999,1,1
STU0164,Engineering,2,5.5,2,2,0,0.75,0.7,12,placed_12m,700218,0.6316666666666666,0.16000000000000003,2,2
STU0165,Law,3,7.48,2,4,1,0.45,0.45,12,placed_12m,572586,0.6259666666666667,0.92,3,2
STU0166,MBA,2,8.41,2,1,0,0.7,0.7,6,placed_6m,917342,0.7160166666666666,0.08000000000000002,4,1
STU0167,Engineering,1,7.72,1,2,1,0.75,1.0,6,placed_6m,718319,0.6860333333333333,0.76,2,1
STU0168,Engineering,3,7.2,0,3,0,0.75,0.45,6,placed_6m,580060,0.48450000000000004,0.24,2,1
STU0169,Data Science,2,6.55,1,1,1,0.85,0.7,3,placed_3m,1101619,0.5900833333333333,0.6799999999999999,1,0
STU0170,Data Science,3,6.0,0,1,0,0.85,0.45,12,placed_12m,900858,0.4375,0.08000000000000002,1,2
STU0171,Engineering,1,8.12,1,3,1,0.75,1.0,6,placed_6m,706222,0.7100333333333333,0.84,2,1
STU0172,Data Science,1,8.21,2,1,1,0.85,1.0,6,placed_6m,1123474,0.7915166666666666,0.6799999999999999,1,1
STU0173,Engineering,3,5.5,0,2,1,0.75,0.45,12,placed_12m,552376,0.41500000000000004,0.76,2,2
STU0174,Data Science,2,8.95,2,1,1,0.85,0.7,6,placed_6m,1165544,0.7574166666666666,0.6799999999999999,1,1
STU0175,Engineering,3,7.83,1,2,1,0.75,0.45,12,placed_12m,735182,0.5798833333333333,0.76,2,2
STU0176,Data Science,2,8.74,1,3,1,0.85,0.7,3,placed_3m,1103599,0.6867333333333334,0.84,1,0
STU0177,MBA,2,5.72,0,0,1,0.7,0.7,6,placed_6m,662610,0.44519999999999993,0.6,4,1
STU0178,Arts,3,5.7,1,3,1,0.35,0.45,24,delayed,278062,0.45533333333333337,0.84,0,3
STU0179,Engineering,2,7.04,0,2,1,0.75,0.7,12,placed_12m,662586,0.5188999999999999,0.76,2,2
STU0180,MBA,2,7.75,3,4,0,0.7,0.7,3,placed_3m,940057,0.80625,0.32000000000000006,4,0
STU0181,Engineering,2,9.18,2,3,1,0.75,0.7,3,placed_3m,755411,0.7704666666666666,0.84,2,0
STU0182,Arts,1,7.98,1,4,1,0.35,1.0,12,placed_12m,356877,0.6551333333333333,0.92,0,2
STU0183,Law,2,6.93,0,4,0,0.45,0.7,24,delayed,545971,0.49005,0.32000000000000006,3,3
STU0184,Engineering,3,6.07,3,2,1,0.75,0.45,6,placed_6m,677437,0.68495,0.76,2,1
STU0185,Data Science,3,8.55,1,2,0,0.85,0.45,6,placed_6m,1099345,0.6200833333333333,0.16000000000000003,1,1
STU0186,Law,3,6.14,0,0,0,0.45,0.45,24,delayed,481277,0.3724,0.0,3,3
STU0187,Data Science,3,8.99,1,1,1,0.85,0.45,6,placed_6m,1054325,0.6254833333333334,0.6799999999999999,1,1
STU0188,Data Science,3,6.89,3,3,1,0.85,0.45,3,placed_3m,1159666,0.73865,0.84,1,0
STU0189,Engineering,3,8.95,0,2,1,0.75,0.45,6,placed_6m,731838,0.53575,0.76,2,1
STU0190,Engineering,2,7.95,0,3,1,0.75,0.7,12,placed_12m,737098,0.5607500000000001,0.84,2,2
STU0191,Law,3,7.05,3,4,1,0.45,0.45,3,placed_3m,642151,0.69425,0.92,3,0
STU0192,Arts,3,6.63,0,1,0,0.35,0.45,12,placed_12m,304782,0.38455,0.08000000000000002,0,2
STU0193,Data Science,2,6.83,0,0,0,0.85,0.7,12,placed_12m,1062469,0.5065500000000001,0.0,1,2
STU0194,MBA,1,7.67,1,3,1,0.7,1.0,6,placed_6m,846032,0.6867833333333333,0.84,4,1
STU0195,MBA,2,7.28,2,1,0,0.7,0.7,6,placed_6m,918556,0.6764666666666667,0.08000000000000002,4,1
STU0196,Nursing,2,6.55,1,0,1,0.6,0.7,24,delayed,412701,0.5425833333333333,0.6,5,3
STU0197,Law,3,7.02,3,3,1,0.45,0.45,6,placed_6m,656302,0.6832,0.84,3,1
STU0198,Law,2,7.29,2,1,0,0.45,0.7,6,placed_6m,641350,0.6393166666666666,0.08000000000000002,3,1
STU0199,Nursing,2,4.86,0,2,1,0.6,0.7,24,delayed,354343,0.42010000000000003,0.76,5,3
STU0200,Data Science,3,7.7,3,3,1,0.85,0.45,6,placed_6m,1118270,0.7669999999999999,0.84,1,1
STU0201,Engineering,1,6.12,1,1,1,0.75,1.0,12,placed_12m,706717,0.6200333333333333,0.6799999999999999,2,2
STU0202,Engineering,2,5.93,1,0,1,0.75,0.7,6,placed_6m,686247,0.5433833333333333,0.6,2,1
STU0203,Law,1,5.34,1,1,1,0.45,1.0,3,placed_3m,531385,0.5477333333333334,0.6799999999999999,3,0
STU0204,Data Science,3,5.23,1,2,0,0.85,0.45,24,delayed,912123,0.5038833333333333,0.16000000000000003,1,3
STU0205,Engineering,3,5.71,0,3,1,0.75,0.45,12,placed_12m,589318,0.43235,0.84,2,2
STU0206,Engineering,2,6.42,0,3,1,0.75,0.7,6,placed_6m,672659,0.5072,0.84,2,1
STU0207,Data Science,3,9.35,1,3,1,0.85,0.45,6,placed_6m,1053280,0.6580833333333334,0.84,1,1
STU0208,Engineering,2,6.62,2,2,1,0.75,0.7,6,placed_6m,677062,0.6708666666666667,0.76,2,1
STU0209,Engineering,3,7.4,1,0,1,0.75,0.45,24,delayed,712210,0.5448333333333333,0.6,2,3
STU0210,Data Science,3,7.64,3,3,0,0.85,0.45,3,placed_3m,1018487,0.7648999999999999,0.24,1,0
STU0211,Data Science,3,7.34,1,0,1,0.85,0.45,12,placed_12m,933589,0.5577333333333333,0.6,1,2
STU0212,Data Science,1,7.11,1,1,1,0.85,1.0,3,placed_3m,1105827,0.6696833333333334,0.6799999999999999,1,0
STU0213,Engineering,3,5.89,0,0,0,0.75,0.45,6,placed_6m,576004,0.40864999999999996,0.0,2,1
STU0214,Nursing,3,8.8,0,0,0,0.6,0.45,12,placed_12m,411919,0.488,0.0,5,2
STU0215,Engineering,2,9.19,1,3,1,0.75,0.7,6,placed_6m,767181,0.6874833333333332,0.84,2,1
STU0216,MBA,3,5.35,2,4,1,0.7,0.45,6,placed_6m,705911,0.5889166666666668,0.92,4,1
STU0217,Nursing,2,6.07,3,4,1,0.6,0.7,6,placed_6m,418205,0.7324499999999999,0.92,5,1
STU0218,Data Science,3,6.89,3,2,1,0.85,0.45,3,placed_3m,1208419,0.72865,0.76,1,0
STU0219,Law,1,6.14,0,2,1,0.45,1.0,6,placed_6m,590604,0.5024,0.76,3,1
STU0220,Data Science,3,7.76,3,4,1,0.85,0.45,3,placed_3m,1045667,0.7791000000000001,0.92,1,0
STU0221,Data Science,2,6.4,1,1,1,0.85,0.7,3,placed_3m,1053437,0.5848333333333333,0.6799999999999999,1,0
STU0222,Engineering,1,9.58,0,3,0,0.75,1.0,6,placed_6m,817178,0.6778,0.24,2,1
STU0223,MBA,2,8.51,2,3,1,0.7,0.7,6,placed_6m,1011899,0.7395166666666666,0.84,4,1
STU0224,Engineering,1,7.43,2,1,1,0.75,1.0,3,placed_3m,763161,0.7492166666666666,0.6799999999999999,2,0
STU0225,Engineering,2,8.33,0,1,1,0.75,0.7,12,placed_12m,755762,0.5540499999999999,0.6799999999999999,2,2
STU0226,Arts,2,8.42,1,4,1,0.35,0.7,6,placed_6m,299202,0.6105333333333333,0.92,0,1
STU0227,MBA,2,6.58,1,2,1,0.7,0.7,6,placed_6m,791483,0.5786333333333333,0.76,4,1
STU0228,Law,2,6.3,2,1,0,0.45,0.7,6,placed_6m,586192,0.6046666666666667,0.08000000000000002,3,1
STU0229,Data Science,2,7.29,1,2,0,0.85,0.7,3,placed_3m,1086976,0.6259833333333333,0.16000000000000003,1,0
STU0230,Nursing,3,8.15,3,0,0,0.6,0.45,6,placed_6m,441540,0.7152499999999999,0.0,5,1
STU0231,Data Science,1,7.35,0,3,0,0.85,1.0,3,placed_3m,1108936,0.61475,0.24,1,0
STU0232,Data Science,3,5.47,1,4,1,0.85,0.45,6,placed_6m,885772,0.5322833333333333,0.92,1,1
STU0233,MBA,3,6.32,1,3,0,0.7,0.45,12,placed_12m,781515,0.5295333333333333,0.24,4,2
STU0234,Engineering,3,7.12,1,4,0,0.75,0.45,12,placed_12m,711748,0.5750333333333333,0.32000000000000006,2,2
STU0235,Nursing,2,7.12,1,0,1,0.6,0.7,3,placed_3m,473341,0.5625333333333332,0.6,5,0
